id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period,MPN10P_median_price_next_10_periods,HPN10P_highest_price_next_10_periods,LPN10P_lowest_price_next_10_periods,HPN1P_high_price_next_1_period,LPN1P_low_price_next_1_period
89,,09-05-2000,"1,424.17","1,430.28","1,401.85","1,412.14","1,412","89,66,00,000","1,416.61","1,470.40","1,368.73","1,412.14","1,375.14"
90,,10-05-2000,"1,412.14","1,412.14","1,375.14","1,383.05","1,383","1,00,64,00,000","1,416.61","1,470.40","1,361.09","1,410.26","1,383.05"
91,,11-05-2000,"1,383.05","1,410.26","1,383.05","1,407.81","1,408","95,36,00,000","1,416.61","1,470.40","1,361.09","1,430.13","1,407.81"
92,,12-05-2000,"1,407.81","1,430.13","1,407.81","1,420.96","1,421","85,82,00,000","1,408.75","1,470.40","1,361.09","1,452.39","1,416.54"
93,,15-05-2000,"1,420.96","1,452.39","1,416.54","1,452.36","1,452","85,46,00,000","1,402.76","1,470.40","1,361.09","1,470.40","1,450.76"
94,,16-05-2000,"1,452.36","1,470.40","1,450.76","1,466.04","1,466","95,55,00,000","1,402.76","1,466.04","1,361.09","1,466.04","1,441.67"
95,,17-05-2000,"1,466.04","1,466.04","1,441.67","1,447.80","1,448","82,05,00,000","1,402.76","1,458.04","1,361.09","1,458.04","1,436.59"
96,,18-05-2000,"1,447.80","1,458.04","1,436.59","1,437.21","1,437","80,79,00,000","1,402.76","1,483.23","1,361.09","1,437.21","1,401.74"
97,,19-05-2000,"1,437.21","1,437.21","1,401.74","1,406.95","1,407","85,37,00,000","1,405.36","1,483.23","1,361.09","1,410.55","1,368.73"
98,,22-05-2000,"1,406.95","1,410.55","1,368.73","1,400.72","1,401","86,90,00,000","1,420.60","1,483.23","1,361.09","1,403.77","1,373.43"
99,,23-05-2000,"1,400.72","1,403.77","1,373.43","1,373.86","1,374","86,99,00,000","1,422.85","1,483.23","1,361.09","1,401.75","1,361.09"
100,,24-05-2000,"1,373.86","1,401.75","1,361.09","1,399.05","1,399","1,15,23,00,000","1,448.81","1,483.23","1,369.75","1,411.65","1,373.93"
101,,25-05-2000,"1,399.05","1,411.65","1,373.93","1,381.52","1,382","98,45,00,000","1,455.78","1,483.23","1,369.75","1,391.42","1,369.75"
102,,26-05-2000,"1,381.52","1,391.42","1,369.75","1,378.02","1,378","72,26,00,000","1,456.95","1,483.23","1,378.02","1,422.45","1,378.02"
103,,30-05-2000,"1,378.02","1,422.45","1,378.02","1,422.45","1,422","84,42,00,000","1,457.84","1,483.23","1,415.50","1,434.49","1,415.50"
104,,31-05-2000,"1,422.44","1,434.49","1,415.50","1,420.60","1,421","96,05,00,000","1,462.91","1,483.62","1,420.60","1,448.81","1,420.60"
105,,01-06-2000,"1,420.60","1,448.81","1,420.60","1,448.81","1,449","96,01,00,000","1,465.51","1,483.62","1,442.38","1,483.23","1,448.81"
106,,02-06-2000,"1,448.81","1,483.23","1,448.81","1,477.26","1,477","1,16,24,00,000","1,466.96","1,483.62","1,442.38","1,477.28","1,464.68"
107,,05-06-2000,"1,477.26","1,477.28","1,464.68","1,467.63","1,468","83,86,00,000","1,465.51","1,488.93","1,442.38","1,471.36","1,454.74"
108,,06-06-2000,"1,467.63","1,471.36","1,454.74","1,457.84","1,458","95,01,00,000","1,469.44","1,488.93","1,442.38","1,474.64","1,455.06"
109,,07-06-2000,"1,457.84","1,474.64","1,455.06","1,471.36","1,471","85,46,00,000","1,470.30","1,488.93","1,442.38","1,475.65","1,456.49"
110,,08-06-2000,"1,471.36","1,475.65","1,456.49","1,461.67","1,462","85,43,00,000","1,470.30","1,488.93","1,442.38","1,472.67","1,454.96"
111,,09-06-2000,"1,461.67","1,472.67","1,454.96","1,456.95","1,457","78,60,00,000","1,469.81","1,488.93","1,438.31","1,462.93","1,445.99"
112,,12-06-2000,"1,456.95","1,462.93","1,445.99","1,446.00","1,446","77,41,00,000","1,469.81","1,488.93","1,438.31","1,470.42","1,442.38"
